,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93
Kup1_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,18,9,55,12,125,41,36,6,99,92,62,44,5,12,4,21,64,106,19,2,7,5,1,19,0,12,12,23,22,28,8,10,7,2,0,15,0,36,94,14,43,65
Kup3_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,141,365,620,121,118,394,408,413,409,204,547,389,150,9,168,420,311,263,42,226,133,176,101,413,825,770,497,328,87,272,106,164,174,289,131,53,335,25,49,68,94,333,568,405,334,91,520,490,502,414,635,227,212,321,297,216,179,86,77,266,103,44,18,8,91,5,12,107,6,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kup3_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,169,200,113,197,47,28,155,313,201,68,132,114,379,218,83,112,203,43,36,140,283,50,76,143,235,374,141,103,564,473,317,166,141,369,69,214,321,68,51,252,18,11,366,14,8,227,26,4,1,55,32,4,18,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kup3_22,58,1,0,5,1,1,0,0,20,9,30,6,10,22,20,8,5,17,3,1,1,20,20,7,0,4,11,4,5,9,2,22,10,16,0,0,7,0,10,0,0,0,5,1,0,0,1,5,11,0,3,18,5,18,17,206,132,52,55,128,98,57,46,40,24,79,3,47,41,27,0,0,1,4,18,52,26,2,67,32,10,32,15,9,40,10,24,0,3,75,7,12,3
Numa1_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Numa1_21,1,0,12,150,55,143,41,69,72,16,96,279,104,83,164,388,172,13,64,13,15,41,10,8,0,12,13,67,41,50,213,6,15,27,14,0,4,0,2,4,3,28,0,3,1,5,0,3,0,0,1,4,9,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Numa1_22,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,5,7,0,0,4,NA,NA,NA,NA,NA,NA,2,27,11,4,9,37,0,0,11,4,24,1,2,9,0,10,21,11,3,1,5,10,0,0,2,0,6,5,3,4,0,NA,NA,NA,NA,NA,NA,NA
Numa3_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Numa3_21,19,36,21,0,48,12,12,6,2,9,63,0,1,27,0,7,0,2,11,34,0,72,85,41,0,100,150,32,118,11,101,36,128,95,23,16,0,0,0,0,5,0,2,2,0,4,0,0,10,0,5,48,0,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Numa3_22,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,3,3,0,0,0,6,21,0,6,0,5,0,1,38,0,0,3,1,4,6,3,2,52,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7,96,178,68,4,6,5,15,0,16,15,40,2,12,0,7,10,2,6,40,0,0,2,35,3,5,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
